model,model_display,horizon,n_common,target_start,target_end,mae,rmse,mean_error,median_abs_error,n_negative_predictions
baseline_seasonal_naive,Modelo base ingenuo estacional,1,8265,2024-01-01,2024-12-31 23:00:00,16.664004839685422,21.84784318104746,-0.0648517846339988,13.0,0
catboost,CatBoost,1,8265,2024-01-01,2024-12-31 23:00:00,6.2788618574810116,8.599574688933261,0.4430282201543021,4.5710798357461755,14
lightgbm,LightGBM,1,8265,2024-01-01,2024-12-31 23:00:00,6.285603481019423,8.622493383255886,0.4851970104454585,4.584871068282453,0
linear_regression,Regresión lineal,1,8265,2024-01-01,2024-12-31 23:00:00,6.6400143848992625,9.068672254291792,0.2769830185127264,4.916314523572126,20
baseline_seasonal_naive,Modelo base ingenuo estacional,4,8265,2024-01-01,2024-12-31 23:00:00,16.664004839685422,21.84784318104746,-0.0648517846339988,13.0,0
catboost,CatBoost,4,8265,2024-01-01,2024-12-31 23:00:00,11.576449872842263,14.690999955822496,1.677302580025306,9.61099404608499,15
lightgbm,LightGBM,4,8265,2024-01-01,2024-12-31 23:00:00,11.617748405077338,14.787079332771736,1.4932179145018254,9.626766140310018,0
linear_regression,Regresión lineal,4,8265,2024-01-01,2024-12-31 23:00:00,12.647992590896779,15.983836085273882,1.1655667722162224,10.4779133770013,34
baseline_seasonal_naive,Modelo base ingenuo estacional,12,8265,2024-01-01,2024-12-31 23:00:00,16.664004839685422,21.84784318104746,-0.0648517846339988,13.0,0
catboost,CatBoost,12,8265,2024-01-01,2024-12-31 23:00:00,13.601338794592245,17.022168463165343,2.981250492034085,11.48623705969558,0
lightgbm,LightGBM,12,8265,2024-01-01,2024-12-31 23:00:00,13.654429812690717,17.092386607048276,2.9421951414153473,11.618441415445695,0
linear_regression,Regresión lineal,12,8265,2024-01-01,2024-12-31 23:00:00,14.128085938722803,17.67185215022478,2.3093483774177455,12.126736707387309,6
baseline_seasonal_naive,Modelo base ingenuo estacional,24,8265,2024-01-01,2024-12-31 23:00:00,16.664004839685422,21.84784318104746,-0.0648517846339988,13.0,0
catboost,CatBoost,24,8265,2024-01-01,2024-12-31 23:00:00,13.989617308708503,17.463910874661195,3.4238158618017103,12.156069670393478,0
lightgbm,LightGBM,24,8265,2024-01-01,2024-12-31 23:00:00,14.055693066723313,17.607840842641604,3.7664022615825137,12.011054642055605,0
linear_regression,Regresión lineal,24,8265,2024-01-01,2024-12-31 23:00:00,14.513337431947875,18.055546453983755,3.0901640121077443,12.56012969780975,0
